,name,country,latitude,longitude,population,evangelical,language,religion,description,,
1,Abdul,,,,,,,Muslim,,Urdu,2022
2,Georgian ,Georgia,,,,,,Muslim,,Caucasus / Georgia,2019
3,Afghans ,,,,,,,Muslim,,Persian,2020
4,Ahar,India,,,,,,Hindu,,Ganges,
5,Ahmadi,,,,,,,Muslim,,Urdu,2Q / 2023
6,Alavi (Shaikh),,,,,,,Muslim,,Turkish,4Q / 2022
7,Albanian,Albania,,,,,,Muslim,,Project / Albania,2017
8,Arab,Algeria,,,,,,Muslim,,Magreb / Algeria,
9,Amazigh,Morocco,,,,,,Muslim,,Magreb / Morocco,2021
10,Ansari,,,,,,,Hindu,,,
11,Ansari,,,,,,,Muslim,,,
12,"Arab, Bedoin",Jordan,,,,,,Muslim,,Levant / Jordan,2018
13,"Arab, Moroccan",Morocco,,,,,,Muslim,,Magreb / Morocco,2014
14,Arabe Nor (Chad),,,,,,,Muslim,,Sahel,3Q / 2022
15,Archi,,,,,,,Muslim,,North Caucasus,4Q / 2022
16,Ari,,,,,,,Hindu,,,
17,Assamese,,,,,,,Hindu,,,
18,Avar (Dagestani),Russia,,,,,,Muslim,,Caucasus / Russia,2019
,Azerbaijani,Georgia,,,,,,Muslim,,Georgia,
19,Azerbaijani,Azerbaijan,,,,,,Muslim,,Azerbaijani / Azerbaijan; Georgia (2019),2016
20,Badhai,,,,,,,Hindu,,,
21,Bagdi,,,,,,,Hindu,,Ganges,3Q / 2022
22,Bairagi,,,,,,,Hindu,,,
23,Balinese,,,,,,,Hindu,,,
24,Balmiki,India,,,,,,Hindu,,Ganges / India,4Q / 2024
25,Bangali,,,,,,,Hindu,,,
26,Bania Barnwal,,,,,,,Hindu,,,
27,Banjara,,,,,,,Hindu,,Ganges,1Q / 2023
28,Barabeesh,,,,,,,Muslim,,,
29,Barhai,,,,,,,Hindu,,,
30,Bari,,,,,,,Hindu,,,
31,Barma,,,,,,,Muslim,,Sahel,3Q / 2022
32,Bashkhirs (Central Asian),,,,,,,Muslim,,Central Asia,2019
33,Batwal (Barwala),,,,,,,Hindu,,Urdu,1Q / 2023
34,Beldar (Nunia),,,,,,,Hindu,,,
35,Bengali,,,,,,,Hindu,,,
36,Berabish,Mauratiania,,,,,,Muslim,,Magreb / Mauritania,4Q / 2022
37,Imazighen,Morocco,,,,,,Muslim,,Magreb / Morocco,2019
38,Bharati,,,,,,,Hindu,,,
39,Bhil,,,,,,,Hindu,,,
40,Bhuiya,,,,,,,Hindu,,,
41,Bhumihar,,,,,,,Hindu,,,
42,Bhutia,,,,,,,Hindu,,,
43,Bind,,,,,,,Hindu,,,
