PeopleName,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,,,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3
A Che,China,42000,Ache,Ethnoreligion - Chinese Folk Religion,24.642348,101.992009,1,Engaged,Medium,Not Free,Very High,Low,Other,A014,C0229,113978,A Che,CHN,CH,,,,Asian Pacific Rim Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,CHN
A-Hmao,China,618000,Large Flowery Miao,Ethnoreligion - Animism,27.86819,104.06038,6,Engaged,Medium,Not Free,Very High,Low,Other,A011,C0138,113981,A-Hmao,CHN,CH,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"100,000+",Indigenous,CHN
A'ou,China,2600,Mandarin Chinese,Ethnoreligion - Chinese Folk Religion,26.8987,105.7893,1,Unengaged,Medium,Not Free,Very High,Low,Other,A011,C0138,113993,A'ou,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,CHN
Abaga,Papua New Guinea,1100,Wagama,Christianity - Non-Evangelical Protestant,-6.12028,145.66459,5,Engaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,100004,Abaga,PNG,PP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Indigenous,PNG
Abai Sungai,Malaysia,1200,Abai Sungai,Islam - Sunni,5.687364,118.371083,1,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,100005,Abai Sungai,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,MYS
Abaknon Sama,Philippines,32500,Inabaknon,Christianity - Roman Catholicism,12.42636,124.16645,1,Engaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A008,C0070,100006,Abaknon Sama,PHL,RP,,,,Asian Pacific Rim Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,PHL
Abanyom,Nigeria,35000,Abanyom,Christianity - Non-Evangelical Protestant,6.30619,8.63055,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100008,Abanyom,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,NGA
Abasakur,Papua New Guinea,2400,Pal,Christianity - Non-Evangelical Protestant,-4.756,145.24044,5,Engaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,100009,Abasakur,PNG,PP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Indigenous,PNG
Abau,Papua New Guinea,15500,Abau,Christianity - Non-Evangelical Protestant,-3.97222,141.32359,5,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,100010,Abau,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,PNG
Abaza,Russian Federation,43500,Abaza,Islam - Sunni,44.2084,41.8753,1,Engaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A003,C0061,100011,Abaza,RUS,RS,,,,Central Asian Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,RUS
